PC1,PC2,Filename,Full title,Display title,Author,Genre,Publication date,,,,,,,,,,,,,,,,,,
-0.003543584,0.00796113,1642.cavendish-w.groundless-aspersions.eebo.txt,"An answer of the Right Honourable the Earle of New-Castle His Excellency, &c., to the six groundlesse aspersions cast upon him by the Lord Fairefax, in his late warrant (here inserted) bearing date Feb. 2, 1642 by the Earle himselfe.",An Answer of the Right Honorable Earl of Newcastle,"Newcastle, William Cavendish",Royal Society text,1642,,,,,,,,,,,,,,,,,,
-0.003107928,0.017156825,1643.cavendish-w.declaration-earle.eebo.txt,"A declaration made by the Earle of New-Castle, Governour of the towne and county of New-Castle, and generall of all His Majesties forces raised in the northerne parts of this kingdome, for the defence of the same for his resolution of marching into Yorkshire : as also a just vindication of himselfe from that unjust aspersion laid upon him for eutertaining [sic] some popish recusants in his forces : with other passages of consequence.",A Declaration Made by the Earl of Newcastle,"Newcastle, William Cavendish",Royal Society text,1643,,,,,,,,,,,,,,,,,,
-0.006243857,0.009885891,1643.cavendish-w.late-declaration.eebo.txt,"The answer of His Excellency the Earle of Newcastle, to a late declaration of the Lord Fairefax dated the 8. of June, 1643.",The Answer of His Excellency the Earl of Newcastle,"Newcastle, William Cavendish",Royal Society text,1643,,,,,,,,,,,,,,,,,,
0.010477503,0.010089003,1643.digby.observations.eebo.txt,"Observations on the 22. stanza in the 9th canto of the 2d book of Spencers Faery queen full of excellent notions concerning the frame of man, and his rationall soul / written by the right noble and illustrious knight Sir Kenelme Digby",Observations of Spencer's Faerie Queen Concerning the Frame of Man,"Digby, Kenelm",Royal Society text,1643,,,,,,,,,,,,,,,,,,
-0.013696647,-0.003507895,1643.digby.religio-medici.eebo.txt,"Observations vpon Religio medici occasionally written by Sir Kenelme Digby, Knight.",Observations Upon Religio Medici,"Digby, Kenelm",Royal Society text,1643,,,,,,,,,,,,,,,,,,
-0.009832838,-0.016739896,1643.wallis.truth-tried.eebo.txt,"Truth tried, or, Animadversions on a treatise published by the Right Honourable Robert Lord Brook entitvled The nature of truth, its vnion and vnity with the soule which, saith he, is one in its essence, faculties, acts one with truth","Truth Tried, or Animadversions","Wallis, John",Royal Society text,1643,,,,,,,,,,,,,,,,,,
0.010577897,-0.00421727,1644.digby.two-treatises.eebo.txt,"Two treatises in the one of which the nature of bodies, in the other, the nature of mans soule is looked into in way of discovery of the immortality of reasonable soules.",Two Treatises,"Digby, Kenelm",Royal Society text,1644,,,,,,,,,,,,,,,,,,
-0.000956297,0.019405048,1647.petty.advice.eebo.txt,The advice of W.P. to Mr. Samuel Hartlib for the advancement of some particular parts of learning,The Advice of W.P. to Mr. Samuel Hartlib,"Petty, William",Royal Society text,1647,,,,,,,,,,,,,,,,,,
0.010211131,0.000681287,1648.digby.royall-apologie.eebo.txt,"The royall apologie: or, An ansvver to the declaration of the House of Commons, the 11. of February, 1647. In which they expresse the reasons for their resolutions for making no more addresses, nor receiving any from His Majesty.",The Royal Apology,"Digby, Kenelm",Royal Society text,1648,,,,,,,,,,,,,,,,,,
0.005321619,-0.002276797,1648.petty.declaration-art.eebo.txt,"A declaration concerning the newly invented art of double writing. Wherein are expressed the reasons of the authors proceedings in procuring a priviledge for the same : as also of the time, manner, and price, of the discovery of the said art, and of the instruments belonging thereunto. For the satisfaction of all that desire to be partakers of the great benefit of the same, before they adventure anything towards the reward thereof. Whereunto is annexed a copie of an ordinance of both houses of Parliament, approving the feasibility and great use of the said invention, and allowing a priviledge to the inventor, for the sole benefit thereof for 14 years, upon the penalty of one hundred pounds.",A Declaration Concerning Double Writing,"Petty, William",Royal Society text,1648,,,,,,,,,,,,,,,,,,
0.04932489,-0.005810091,1648.petty.double-writing.eebo.txt,Double writing.,Double Writing,"Petty, William",Royal Society text,1648,,,,,,,,,,,,,,,,,,
